   -0.49109968401260289950E+00    0.87110338098455442069E+00    0.21219957909652723151-312
   -0.43354514667512245030E+00    0.90113184706481586073E+00    0.21219957909652723151-312
   -0.38418259129095821969E+00    0.92325713457788372018E+00    0.21219957909652723151-312
   -0.34157127800295350450E+00    0.93985587301640516333E+00    0.21219957909652723151-312
   -0.30447712317726122189E+00    0.95251964885859385923E+00    0.21219957909652723151-312
   -0.27187678892410499509E+00    0.96233206932135306744E+00    0.21219957909652723151-312
   -0.24296988293173765738E+00    0.97003383239356022472E+00    0.21219957909652723151-312
   -0.21710327690304251358E+00    0.97614863988941802386E+00    0.21219957909652723151-312
   -0.19377498132558371169E+00    0.98104600127224916850E+00    0.21219957909652723151-312
   -0.17258160514598719359E+00    0.98499522311797771401E+00    0.21219957909652723151-312
   -0.15320063262743277566E+00    0.98819510531197951586E+00    0.21219957909652723151-312
   -0.13537400638470598047E+00    0.99079456921975184169E+00    0.21219957909652723151-312
   -0.11889179065823295145E+00    0.99290721727363773219E+00    0.21219957909652723151-312
   -0.10359294066850163740E+00    0.99461977792704903134E+00    0.21219957909652723151-312
   -0.89346049678221461932E-01    0.99600064428036227948E+00    0.21219957909652723151-312
   -0.76036232820260701848E-01    0.99710505529683435277E+00    0.21219957909652723151-312
   -0.63566812028966884762E-01    0.99797758512327017222E+00    0.21219957909652723151-312
   -0.51866371588129595027E-01    0.99865403393681939637E+00    0.21219957909652723151-312
   -0.40876846556114065923E-01    0.99916419242065912520E+00    0.21219957909652723151-312
   -0.30543787572922469209E-01    0.99953342967641667371E+00    0.21219957909652723151-312
   -0.20819331909708697209E-01    0.99978325422005009937E+00    0.21219957909652723151-312
   -0.11662681208578013631E-01    0.99993198862073962019E+00    0.21219957909652723151-312
   -0.30432080773940667871E-02    0.99999536943157796287E+00    0.21219957909652723151-312
    0.50727181461620446390E-02    0.99998713368253377975E+00    0.21219957909652723151-312
    0.12712769626786064522E-01    0.99991918947903790649E+00    0.21219957909652723151-312
    0.19903389526989848091E-01    0.99980190792243284204E+00    0.21219957909652723151-312
    0.26665121433610508572E-01    0.99964442243176188096E+00    0.21219957909652723151-312
    0.33024543759195383597E-01    0.99945454099198371978E+00    0.21219957909652723151-312
    0.39003177352493992314E-01    0.99923908658359128498E+00    0.21219957909652723151-312
    0.44619741662341734501E-01    0.99900404336218062706E+00    0.21219957909652723151-312
    0.49899287282785559361E-01    0.99875425462356348660E+00    0.21219957909652723151-312
    0.54859900109810844082E-01    0.99849406175497190663E+00    0.21219957909652723151-312
    0.59523626842581521534E-01    0.99822689697658673058E+00    0.21219957909652723151-312
    0.63908821344540345244E-01    0.99795574178134349719E+00    0.21219957909652723151-312
    0.68032172703329146790E-01    0.99768312779021406378E+00    0.21219957909652723151-312
    0.71917840008360670034E-01    0.99741055954332646927E+00    0.21219957909652723151-312
    0.75582802870995696720E-01    0.99713952880736012041E+00    0.21219957909652723151-312
    0.79043226712764508290E-01    0.99687118942761843154E+00    0.21219957909652723151-312
    0.82314625566324878259E-01    0.99660639292444630488E+00    0.21219957909652723151-312
    0.85420758187701381625E-01    0.99634496740367906042E+00    0.21219957909652723151-312
    0.88373561858503521527E-01    0.99608740257290739883E+00    0.21219957909652723151-312
    0.91184990130072696157E-01    0.99583397088820913012E+00    0.21219957909652723151-312
    0.93879425255322584976E-01    0.99558357434910016437E+00    0.21219957909652723151-312
    0.96460216947605523230E-01    0.99533684074609685144E+00    0.21219957909652723151-312
    0.98939966023101122428E-01    0.99509340422060255094E+00    0.21219957909652723151-312
    0.10132820498595720982E+00    0.99485305189978889828E+00    0.21219957909652723151-312
    0.10364558072098142838E+00    0.99461429388331767942E+00    0.21219957909652723151-312
    0.10588992387536884376E+00    0.99437785776920262215E+00    0.21219957909652723151-312
    0.10806336838556147850E+00    0.99414400788475631998E+00    0.21219957909652723151-312
    0.11019007491550641964E+00    0.99391053289021702444E+00    0.21219957909652723151-312
    0.11225983361103865354E+00    0.99367888664176717839E+00    0.21219957909652723151-312
    0.11427346203834422289E+00    0.99344933231331489232E+00    0.21219957909652723151-312
    0.11624154724163376917E+00    0.99322097374897955202E+00    0.21219957909652723151-312
    0.11816065709095549541E+00    0.99299449097959946453E+00    0.21219957909652723151-312
    0.12002653447902668360E+00    0.99277068400560408712E+00    0.21219957909652723151-312
    0.12184400527015776250E+00    0.99254926244480468078E+00    0.21219957909652723151-312
    0.12361062933351839310E+00    0.99233079782689992410E+00    0.21219957909652723151-312
    0.12532152258104284348E+00    0.99211618068549278782E+00    0.21219957909652723151-312
    0.12696646216782009331E+00    0.99190701050279284079E+00    0.21219957909652723151-312
    0.12853916603416695730E+00    0.99170443318321466197E+00    0.21219957909652723151-312
    0.13004657339925981829E+00    0.99150788637665976388E+00    0.21219957909652723151-312
    0.13146950540820348530E+00    0.99132021524213986829E+00    0.21219957909652723151-312
    0.13281065986142420732E+00    0.99114142715718078769E+00    0.21219957909652723151-312
    0.13406686263307679430E+00    0.99097228838334505685E+00    0.21219957909652723151-312
    0.13522566085276543912E+00    0.99081482661844177962E+00    0.21219957909652723151-312
    0.13627203577044180727E+00    0.99067145526000666145E+00    0.21219957909652723151-312
    0.13721282869678594341E+00    0.99054158905167954963E+00    0.21219957909652723151-312
    0.13804686302476867898E+00    0.99042569817680958799E+00    0.21219957909652723151-312
    0.13876071044765153628E+00    0.99032593888884035138E+00    0.21219957909652723151-312
    0.13935727524022409329E+00    0.99024216726900726737E+00    0.21219957909652723151-312
    0.13979040149328805787E+00    0.99018111658945773268E+00    0.21219957909652723151-312
    0.14010497936136037667E+00    0.99013665458771527028E+00    0.21219957909652723151-312
    0.14037003599076877669E+00    0.99009911271344464012E+00    0.21219957909652723151-312
